"package_date","short_name","bc_id","ncit_code","parent_bc_id","bc_categories","synonyms","result_scales","definition","system","system_name","code","dec_id","ncit_dec_code","dec_label","data_type","example_set"
"2025-11-18","Body Mass Index","C16358","C16358","","Vital Signs;Body Measurements","BMI;Quetelet Index","Quantitative","An individual's weight in kilograms divided by the square of the height in meters.","http://loinc.org/","LOINC","39156-5","C42575","C42575","Unit of Mass Density","string","Kilogram per Square Meter;Pounds per Square Inch"
"2025-11-18","Body Mass Index","C16358","C16358","","Vital Signs;Body Measurements","BMI;Quetelet Index","Quantitative","An individual's weight in kilograms divided by the square of the height in meters.","http://loinc.org/","LOINC","39156-5","C70856","C70856","Observation Result","decimal",""
"2025-11-18","Body Mass Index","C16358","C16358","","Vital Signs;Body Measurements","BMI;Quetelet Index","Quantitative","An individual's weight in kilograms divided by the square of the height in meters.","http://loinc.org/","LOINC","39156-5","C82515","C82515","Collection Date Time","datetime",""
"2025-11-18","Body Height","C164634","C164634","C25347","Vital Signs;Body Measurements","HEIGHT","Quantitative","The vertical measurement or distance from the base to the top of a subject or participant.","http://loinc.org/","LOINC","8302-2","C168688","C168688","Unit of Height","string","Centimeter;Inch;Millimeter;Meter"
"2025-11-18","Body Height","C164634","C164634","C25347","Vital Signs;Body Measurements","HEIGHT","Quantitative","The vertical measurement or distance from the base to the top of a subject or participant.","http://loinc.org/","LOINC","8302-2","C70856","C70856","Observation Result","decimal",""
"2025-11-18","Body Height","C164634","C164634","C25347","Vital Signs;Body Measurements","HEIGHT","Quantitative","The vertical measurement or distance from the base to the top of a subject or participant.","http://loinc.org/","LOINC","8302-2","C82515","C82515","Collection Date Time","datetime",""
"2024-12-16","Body Temperature","C174446","C174446","","Vital Signs","Temperature","Quantitative","A measurement of the temperature of the body.","http://loinc.org/","LOINC","8310-5","C13717","C13717","Anatomic Site","string","Axilla;Ear;Forehead;Oral Cavity;Rectum"
"2024-12-16","Body Temperature","C174446","C174446","","Vital Signs","Temperature","Quantitative","A measurement of the temperature of the body.","http://loinc.org/","LOINC","8310-5","C44276","C44276","Unit of Temperature","string","Fahrenheit;Celsius;Kelvin"
"2024-12-16","Body Temperature","C174446","C174446","","Vital Signs","Temperature","Quantitative","A measurement of the temperature of the body.","http://loinc.org/","LOINC","8310-5","C70856","C70856","Observation Result","decimal",""
"2024-12-16","Body Temperature","C174446","C174446","","Vital Signs","Temperature","Quantitative","A measurement of the temperature of the body.","http://loinc.org/","LOINC","8310-5","C82515","C82515","Collection Date Time","datetime",""
"2025-12-16","Systolic Blood Pressure","C25298","C25298","C54706","Vital Signs;Blood Pressure","SYSBP","Quantitative","The maximum pressure exerted into the systemic arterial circulation during the contraction of the left ventricle of the heart.","http://loinc.org/","LOINC","8480-6","C13717","C13717","Anatomic Site","string","Arm;Forearm;Thigh;Calf;Artery;Vein"
"2025-12-16","Systolic Blood Pressure","C25298","C25298","C54706","Vital Signs;Blood Pressure","SYSBP","Quantitative","The maximum pressure exerted into the systemic arterial circulation during the contraction of the left ventricle of the heart.","http://loinc.org/","LOINC","8480-6","C25185","C25185","Laterality","string","Left;Right"
"2025-12-16","Systolic Blood Pressure","C25298","C25298","C54706","Vital Signs;Blood Pressure","SYSBP","Quantitative","The maximum pressure exerted into the systemic arterial circulation during the contraction of the left ventricle of the heart.","http://loinc.org/","LOINC","8480-6","C49669","C49669","Unit of Pressure","string","cmHg;mmHG;Pascal"
