"package_date","bc_id","sdtmig_start_version","sdtmig_end_version","domain","vlm_source","vlm_group_id","short_name","sdtm_variable","dec_id","nsv_flag","codelist","codelist_submission_value","subset_codelist","value_list","assigned_term","assigned_value","role","subject","linking_phrase","predicate_term","object","data_type","length","format","significant_digits","mandatory_variable","mandatory_value","origin_type","origin_source","comparator","vlm_target"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSDTC","C82515","N","","","","","","","Timing","VSDTC","is the date of occurrence for","IS_TIMING_FOR","VSTESTCD","","","","","Y","N","","","",""
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSORRES","C70856","N","","","","","","","Qualifier","VSORRES","is the result of the test in","IS_RESULT_OF","VSTESTCD","float","8.0","8.3","3.0","Y","N","Collected","Investigator","","Y"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSORRESU","C42575","N","C71620","UNIT","UNIT_BMI","kg/m2;psi","","","Qualifier","VSORRESU","is the unit for the value in","IS_UNIT_FOR","VSORRES","text","20.0","","","Y","N","Collected","Investigator","","Y"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSSTRESC","C70856","N","","","","","","","Qualifier","VSSTRESC","is the result of the test in","IS_RESULT_OF","VSTESTCD","float","8.0","8.3","3.0","N","N","Derived","Sponsor","","Y"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSSTRESN","C70856","N","","","","","","","Qualifier","VSSTRESN","is the result of the test in","IS_RESULT_OF","VSTESTCD","float","8.0","8.3","3.0","N","N","Derived","Sponsor","","Y"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSSTRESU","C42575","N","C66770","VSRESU","","","","","Qualifier","VSSTRESU","is the unit for the value in","IS_UNIT_FOR","VSSTRESN","text","20.0","","","N","N","Assigned","Sponsor","","Y"
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSTEST","","N","C67153","VSTEST","","","C16358","Body Mass Index","Qualifier","VSTEST","decodes the value in","DECODES","VSTESTCD","","","","","Y","Y","Assigned","Sponsor","",""
"2026-05-26","C16358","3-2","","VS","VS.VSTESTCD","BMI","Body Mass Index","VSTESTCD","","N","C66741","VSTESTCD","","","C16358","BMI","Topic","VSTESTCD","is the code for the value in","IS_DECODED_BY","VSTEST","","","","","Y","Y","Assigned","Sponsor","EQ",""
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSDTC","C82515","N","","","","","","","Timing","VSDTC","is the date of occurrence for","IS_TIMING_FOR","VSTESTCD","","","","","Y","N","","","",""
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSLAT","C25185","N","C99073","LAT","VSLAT_BP","LEFT;RIGHT","","","Qualifier","VSLAT","further specifies the anatomical location in","SPECIFIES","VSLOC","","","","","N","N","","","IN",""
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSLOC","C13717","N","C74456","LOC","","BRACHIAL ARTERY;CAROTID ARTERY;DORSALIS PEDIS ARTERY;FEMORAL ARTERY;FINGER;RADIAL ARTERY","","","Qualifier","VSLOC","specifies the anatomical location of the performance of the test in","SPECIFIES","VSTESTCD","","","","","N","N","","","IN",""
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSORRES","C70856","N","","","","","","","Qualifier","VSORRES","is the result of the test in","IS_RESULT_OF","VSTESTCD","integer","3.0","","","Y","N","Collected","Investigator","","Y"
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSORRESU","C49669","N","C66770","VSRESU","","","C49670","mmHg","Qualifier","VSORRESU","is the unit for the value in","IS_UNIT_FOR","VSORRES","text","20.0","","","Y","N","Collected","Investigator","","Y"
"2026-05-26","C25299","3-2","","VS","VS.VSTESTCD","DIABP","Diastolic Blood Pressure","VSPOS","C62164","N","C71148","POSITION","","PRONE;SEMI-RECUMBENT;SITTING;STANDING;SUPINE","","","Qualifier","VSPOS","is the subject position during performance of the test in","IS_SUBJECT_STATE_FOR","VSTESTCD","","","","","N","N","","","IN",""
